"methanol","64.7","78.2","-13.5","*","*"
"ethanol","78.3","77.0","1.3","78.8","-0.5"
"1-propanol","97.2","96.3","0.9","97.8","-0.6"
"2-propanol","82.3","77.2","5.1","78.9","3.4"
"1-butanol","117.0","115.6","2.1","116.8","0.9"
"2-butanol","99.6","97.2","2.4","98.7","0.9"
"2-M-1-propanol","107.9","109.6","-1.7","110.9","-3.0"
"2-M-2-propanol","82.4","81.3","1.1","83.0","-0.6"
"1-pentanol","137.8","134.9","3.0","135.8","2.0"
"2-pentanol","119.0","116.5","2.5","117.7","1.3"
"3-pentanol","115.3","117.2","-1.9","118.5","-3.2"
"2-M-1-butanol","128.7","129.6","-0.9","130.7","-2.0"
"3-M-1-butanol","131.2","128.9","2.3","129.9","1.3"
"2-M-2-butanol","102.0","101.8","0.2","103.2","-1.1"
"3-M-2-butanol","111.5","113.6","-2.1","114.9","-3.4"
"2,2-MM-1-propanol","113.1","121.4","-8.3","*","*"
"1-hexanol","157.0","154.1","2.9","154.8","2.2"
"2-hexanol","139.9","135.8","4.2","136.7","3.2"
"3-hexanol","135.4","136.5","-1.1","137.5","-2.1"
"2-M-1-pentanol","148.0","148.9","-0.9","149.7","-1.7"
"3-M-1-pentanol","152.4","148.9","3.5","149.7","2.7"
"4-M-1-pentanol","151.8","148.2","3.6","149.0","2.8"
"2-M-2-pentanol","121.4","121.0","0.4","122.2","-0.8"
"3-M-2-pentanol","134.2","131.1","3.2","132.1","2.1"
"4-M-2-pentanol","131.7","129.8","1.9","130.9","0.9"
"2-M-3-pentanol","126.6","131.4","-4.8","132.4","-5.8"
"3-M-2-pentanol","122.4","122.2","0.2","123.4","-1.0"
"2-ethyl-1-butanol","146.5","149.7","-3.2","150.5","-4.0"
"2,2-MM-1-butanol","136.8","141.8","-5.0","142.7","-5.9"
"2,3-MM-1-butanol","149.0","143.5","5.6","144.3","4.7"
"3,3-MM-1-butanol","143.0","140.6","2.4","141.6","1.5"
"2,3-MM-2-butanol","118.6","117.3","1.3","118.6","0.0"
"3,3-MM-2-butanol","120.0","123.1","-3.1","124.2","-4.2"
"1-heptanol","176.3","173.4","2.9","173.9","2.4"
"3-heptanol","156.8","155.8","1.0","156.5","0.3"
"4-heptanol","155.0","155.8","-0.8","156.5","-1.5"
"2-M-2-hexanol","142.5","140.3","2.2","141.2","1.3"
"3-M-3-hexanol","142.4","141.5","0.9","142.4","0.0"
"3-E-3-hexanol","142.5","142.7","-0.2","143.6","-1.1"
"2,3-MM-2-pentanol","139.7","135.9","3.8","136.9","2.9"
"3,3-MM-2-pentanol","133.0","143.5","-10.5","*","*"
"2,2-MM-3-pentanol","136.0","143.1","-7.1","*","*"
"2,3-MM-3-pentanol","139.0","136.3","2.7","137.3","1.7"
"2,4-MM-3-pentanol","138.8","132.9","5.9","133.9","4.9"
"1-octanol","195.2","192.7","2.5","192.9","2.3"
"2-octanol","179.8","174.3","5.5","174.8","5.0"
"2-E-1-hexanol","184.6","188.2","-3.6","188.5","-3.9"
"2,3,3-MMM-3-pentanol","152.2","149.0","3.2","149.8","2.4"
"1-nonanol","213.1","211.9","1.2","211.9","1.2"
"2-nonanol","198.5","195.8","2.7","196.0","2.5"
"3-nonanol","194.7","196.1","-1.4","196.3","-1.6"
"4-nonanol","193.0","196.1","-3.1","196.3","-3.3"
"5-nonanol","195.1","196.1","-1.0","196.3","-1.2"
"7-M-1-octanol","206.0","206.0","0.0","206.0","0.0"
"2,6-MM-4-heptanol","178.0","184.2","-6.2","*","*"
"3,5-MM-4-heptanol","187.0","188.7","-1.7","189.0","-2.0"
"3,5,5-MMM-1-hexanol","193.0","194.4","-1.4","194.6","-1.6"
"1-decanol","230.2","231.2","-1.0","230.9","-0.7"
